time,ASkin,ARestBody,[ARestBody]
2.375,251.31826958367463,1585.8074843248894,1585.8074843248894
2.4166666666666665,214.99633131202472,1588.4719190898004,1588.4719190898004
2.4583333333333335,183.92367729417202,1585.8878935849007,1585.8878935849007
2.5,157.341866546732,1578.91571842413,1578.91571842413
2.5416666666666665,134.60185354583382,1568.2894802328624,1568.2894802328624
2.5833333333333335,115.14835431601607,1554.635124873985,1554.635124873985
2.625,98.50665304416451,1538.4857167871173,1538.4857167871173
2.6666666666666665,84.27013765102562,1520.2958548668798,1520.2958548668798
2.7083333333333335,72.09100733846704,1500.4524181550844,1500.4524181550844
2.75,61.6719892117267,1479.2841439953643,1479.2841439953643
2.7916666666666665,52.75883397465577,1457.0703047905126,1457.0703047905126
2.8333333333333335,45.13390396865313,1434.0481208978574,1434.0481208978574
2.875,38.6109476002063,1410.4188008530216,1410.4188008530216
2.9166666666666665,33.03069346773595,1386.3526332192068,1386.3526332192068
2.9583333333333335,28.256928563489435,1361.9935184094709,1361.9935184094709
3.0,24.1731026582134,1337.46289176346,1337.46289176346
3.0416666666666665,876.1512723354199,1455.8309593440547,1455.8309593440547
3.0833333333333335,749.5268696335155,1550.5488577084498,1550.5488577084498
3.125,641.2006169493928,1625.1797096086252,1625.1797096086252
3.1666666666666665,548.5300997199691,1682.7584033640862,1682.7584033640862
3.2083333333333335,469.25169547908945,1725.881980745568,1725.881980745568
3.25,401.4317316692234,1756.766146081161,1756.766146081161
3.2916666666666665,343.41382221571274,1777.306201675423,1777.306201675423
3.3333333333333335,293.7809993886768,1789.1208541756262,1789.1208541756262
3.375,251.32150498601777,1793.5917902536796,1793.5917902536796
3.4166666666666665,214.99858991027216,1791.8986144288149,1791.8986144288149
3.4583333333333335,183.92532671686806,1785.0479856435938,1785.0479856435938
3.5,157.34301577941122,1773.8985958159449,1773.8985958159449
3.5416666666666665,134.60258844850122,1759.1826805934163,1759.1826805934163
3.5833333333333335,115.14878450701744,1741.524320000747,1741.524320000747
3.625,98.50659525339931,1721.4551175838421,1721.4551175838421
3.6666666666666665,84.26966397510537,1699.427614727918,1699.427614727918
3.7083333333333335,72.09036391952101,1675.8267640230272,1675.8267640230272
3.75,61.67131017838768,1650.9797435384187,1650.9797435384187
3.7916666666666665,52.75809827958683,1625.1643517714504,1625.1643517714504
3.8333333333333335,45.13309230007209,1598.6161882991926,1598.6161882991926
3.875,38.61011077429051,1571.5347956992696,1571.5347956992696
3.9166666666666665,33.02988063855131,1544.0889128883605,1544.0889128883605
3.9583333333333335,28.25614634249996,1516.4209704774353,1516.4209704774353
4.0,24.172349452960702,1488.650926144823,1488.650926144823
4.041666666666667,876.1504408830099,1603.84766006757,1603.84766006757
4.083333333333333,749.5261343406482,1695.4605420557475,1695.4605420557475
4.125,641.2000737038602,1767.0513977305231,1767.0513977305231
4.166666666666667,548.5296166609868,1821.6540125160523,1821.6540125160523
4.208333333333333,469.2513612395701,1861.8638356724896,1861.8638356724896
4.25,401.4314201124338,1889.8955106112526,1889.8955106112526
4.291666666666667,343.41356307924065,1907.642877103677,1907.642877103677
4.333333333333333,293.78078190719623,1916.7234335381938,1916.7234335381938
4.375,251.32131991544546,1918.5176359873258,1918.5176359873258
4.416666666666667,214.9984222363591,1914.2038925807592,1914.2038925807592
4.458333333333333,183.92518803081398,1904.7876536632618,1904.7876536632618
4.5,157.34290055569448,1891.1264778371494,1891.1264778371494
4.541666666666667,134.60249238014316,1873.951470412748,1873.951470412748
4.583333333333333,115.14870416281211,1853.8856051556027,1853.8856051556027
4.625,98.50652788218275,1831.4594027634955,1831.4594027634955
4.666666666666667,84.26960736426153,1807.1243446354842,1807.1243446354842
4.708333333333333,72.09031627280359,1781.2643457389497,1781.2643457389497
4.75,61.67127002789219,1754.2055683782844,1754.2055683782844
4.791666666666667,52.75806441814216,1726.2248166638083,1726.2248166638083
4.833333333333333,45.13306372872497,1697.5567166991063,1697.5567166991063
4.875,38.610086661871904,1668.399858050466,1668.399858050466
4.916666666666667,33.029859668934456,1638.9220473643509,1638.9220473643509
4.958333333333333,28.256128748804333,1609.2648001994191,1609.2648001994191
5.0,24.17233478297999,1579.547180921142,1579.547180921142
5.041666666666667,876.1503301152646,1692.837312788051,1692.837312788051
5.083333333333333,749.5260430027871,1782.5834517273033,1782.5834517273033
5.125,641.2000273105127,1852.3466926548533,1852.3466926548533
5.166666666666667,548.5295683135824,1905.1600833830132,1905.1600833830132
5.208333333333333,469.2513584629545,1943.6181598373364,1943.6181598373364
5.25,401.4314042016617,1969.9349010697654,1969.9349010697654
5.291666666666667,343.4135527686596,1986.0032864014709,1986.0032864014709
5.333333333333333,293.7807751006456,1993.4400837195124,1993.4400837195124
5.375,251.3213088425735,1993.6250168614479,1993.6250168614479
5.416666666666667,214.99841369850753,1987.7357537992127,1987.7357537992127
5.458333333333333,183.9251828459703,1976.7770436734081,1976.7770436734081
5.5,157.34289763978563,1961.6057540140741,1961.6057540140741
5.541666666666667,134.6024910032082,1942.9523109919621,1942.9523109919621
5.583333333333333,115.14870380855717,1921.439023633211,1921.439023633211
5.625,98.50652818931891,1897.5957619030294,1897.5957619030294
5.666666666666667,84.2696080863879,1871.873370160881,1871.873370160881
5.708333333333333,72.0903172418308,1844.65513973718,1844.65513973718
5.75,61.67127113058934,1816.2666224065326,1816.2666224065326
5.791666666666667,52.758065579376094,1786.9840245745318,1786.9840245745318
5.833333333333333,45.1330648993793,1757.0413871910578,1757.0413871910578
5.875,38.610087810497774,1726.6367269524092,1726.6367269524092
5.916666666666667,33.02986032928297,1695.937290174195,1695.937290174195
5.958333333333333,28.256129564069848,1665.0840420651027,1665.0840420651027
6.0,24.172335665389316,1634.1955102844306,1634.1955102844306
6.041666666666667,876.1502766037981,1746.3393573224002,1746.3393573224002
6.083333333333333,749.5260116876141,1834.9631671457935,1834.9631671457935
6.125,641.2000071960362,1903.6276339596122,1903.6276339596122
6.166666666666667,548.5295465292946,1955.3653139910978,1955.3653139910978
